"File","Kind","DefType","DefName","Field","Path","IsNumeric","Value"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","burnableByRecipe","/Defs[1]/MooGirl_ApparelBase[1]/burnableByRecipe[1]","False","true"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","smeltable","/Defs[1]/MooGirl_ApparelBase[1]/smeltable[1]","False","true"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","compClass","/Defs[1]/MooGirl_ApparelBase[1]/comps[1]/li[2]/compClass[1]","False","CompColorable"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","useWornGraphicMask","/Defs[1]/MooGirl_ApparelBase[1]/apparel[1]/useWornGraphicMask[1]","False","true"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","tradeability","/Defs[1]/MooGirl_ApparelBase[1]/tradeability[1]","False","Sellable"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/tradeTags[1]/li[1]","False","MooGirl_Apparel"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","workSpeedStat","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/workSpeedStat[1]","False","GeneralLaborSpeed"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","workSkill","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/workSkill[1]","False","Crafting"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","effectWorking","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/effectWorking[1]","False","Tailor"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","soundWorking","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/soundWorking[1]","False","Recipe_Tailor"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/recipeUsers[1]/li[1]","False","ElectricTailoringBench"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/recipeUsers[1]/li[2]","False","HandTailoringBench"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","unfinishedThingDef","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/unfinishedThingDef[1]","False","UnfinishedApparel"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/defaultIngredientFilter[1]/categories[1]/li[1]","False","Root"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/defaultIngredientFilter[1]/disallowedThingDefs[1]/li[1]","False","Gold"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/defaultIngredientFilter[1]/disallowedThingDefs[1]/li[2]","False","Silver"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/defaultIngredientFilter[1]/disallowedThingDefs[1]/li[3]","False","Plasteel"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/defaultIngredientFilter[1]/disallowedThingDefs[1]/li[4]","False","Jade"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","li","/Defs[1]/MooGirl_ApparelBase[1]/recipeMaker[1]/defaultIngredientFilter[1]/disallowedThingDefs[1]/li[5]","False","Uranium"
"1.6\Defs\Apparel\Apparel_Base.xml","Attribute","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","@Name","/Defs[1]/MooGirl_ApparelBase[1]/@Name","False","MooGirl_ApparelBase"
"1.6\Defs\Apparel\Apparel_Base.xml","Attribute","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","@ParentName","/Defs[1]/MooGirl_ApparelBase[1]/@ParentName","False","ApparelBase"
"1.6\Defs\Apparel\Apparel_Base.xml","Attribute","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","@Abstract","/Defs[1]/MooGirl_ApparelBase[1]/@Abstract","False","True"
"1.6\Defs\Apparel\Apparel_Base.xml","Attribute","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","@Class","/Defs[1]/MooGirl_ApparelBase[1]/comps[1]/li[1]/@Class","False","CompProperties_Forbiddable"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","thingClass","/Defs[1]/MooGirl_SlaveApparel_Base[1]/thingClass[1]","False","MooGirl.SlaveApparel"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","category","/Defs[1]/MooGirl_SlaveApparel_Base[1]/category[1]","False","Item"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","selectable","/Defs[1]/MooGirl_SlaveApparel_Base[1]/selectable[1]","False","True"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","pathCost","/Defs[1]/MooGirl_SlaveApparel_Base[1]/pathCost[1]","True","10"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","useHitPoints","/Defs[1]/MooGirl_SlaveApparel_Base[1]/useHitPoints[1]","False","True"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","techLevel","/Defs[1]/MooGirl_SlaveApparel_Base[1]/techLevel[1]","False","Medieval"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","onGroundRandomRotateAngle","/Defs[1]/MooGirl_SlaveApparel_Base[1]/graphicData[1]/onGroundRandomRotateAngle[1]","True","35"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","graphicClass","/Defs[1]/MooGirl_SlaveApparel_Base[1]/graphicData[1]/graphicClass[1]","False","Graphic_Single"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","drawGUIOverlay","/Defs[1]/MooGirl_SlaveApparel_Base[1]/drawGUIOverlay[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","MaxHitPoints","/Defs[1]/MooGirl_SlaveApparel_Base[1]/statBases[1]/MaxHitPoints[1]","True","100"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","Flammability","/Defs[1]/MooGirl_SlaveApparel_Base[1]/statBases[1]/Flammability[1]","True","0.4"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","DeteriorationRate","/Defs[1]/MooGirl_SlaveApparel_Base[1]/statBases[1]/DeteriorationRate[1]","True","1"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","Beauty","/Defs[1]/MooGirl_SlaveApparel_Base[1]/statBases[1]/Beauty[1]","True","1"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","altitudeLayer","/Defs[1]/MooGirl_SlaveApparel_Base[1]/altitudeLayer[1]","False","Item"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","alwaysHaulable","/Defs[1]/MooGirl_SlaveApparel_Base[1]/alwaysHaulable[1]","False","True"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","tickerType","/Defs[1]/MooGirl_SlaveApparel_Base[1]/tickerType[1]","False","Normal"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","burnableByRecipe","/Defs[1]/MooGirl_SlaveApparel_Base[1]/burnableByRecipe[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","smeltable","/Defs[1]/MooGirl_SlaveApparel_Base[1]/smeltable[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","compClass","/Defs[1]/MooGirl_SlaveApparel_Base[1]/comps[1]/li[4]/compClass[1]","False","MooGirl.CompGetSlaveApperalGear"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","compClass","/Defs[1]/MooGirl_SlaveApparel_Base[1]/comps[1]/li[5]/compClass[1]","False","CompColorable"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","adultOnly","/Defs[1]/MooGirl_SlaveApparel_Base[1]/modExtensions[1]/li[1]/adultOnly[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","li","/Defs[1]/MooGirl_SlaveApparel_Base[1]/thingCategories[1]/li[1]","False","MooGirl_Slave"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","slaveApparel","/Defs[1]/MooGirl_SlaveApparel_Base[1]/apparel[1]/slaveApparel[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","canBeDesiredForIdeo","/Defs[1]/MooGirl_SlaveApparel_Base[1]/apparel[1]/canBeDesiredForIdeo[1]","False","false"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","canBeGeneratedToSatisfyWarmth","/Defs[1]/MooGirl_SlaveApparel_Base[1]/apparel[1]/canBeGeneratedToSatisfyWarmth[1]","False","false"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","ElementText","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","canBeGeneratedToSatisfyToxicEnvironmentResistance","/Defs[1]/MooGirl_SlaveApparel_Base[1]/apparel[1]/canBeGeneratedToSatisfyToxicEnvironmentResistance[1]","False","false"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Name","/Defs[1]/MooGirl_SlaveApparel_Base[1]/@Name","False","MooGirl_SlaveApparel_Base"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Abstract","/Defs[1]/MooGirl_SlaveApparel_Base[1]/@Abstract","False","True"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Class","/Defs[1]/MooGirl_SlaveApparel_Base[1]/comps[1]/li[1]/@Class","False","CompProperties_Forbiddable"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Class","/Defs[1]/MooGirl_SlaveApparel_Base[1]/comps[1]/li[2]/@Class","False","MooGirl.CompProperties_DevUnlockSlaveApparel"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Class","/Defs[1]/MooGirl_SlaveApparel_Base[1]/comps[1]/li[3]/@Class","False","MooGirl.CompProperties_AdultContentControl"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Class","/Defs[1]/MooGirl_SlaveApparel_Base[1]/comps[1]/li[4]/@Class","False","CompProperties_UseEffect"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Base.xml","Attribute","MooGirl_SlaveApparel_Base","Name:MooGirl_SlaveApparel_Base","@Class","/Defs[1]/MooGirl_SlaveApparel_Base[1]/modExtensions[1]/li[1]/@Class","False","MooGirl.AdultContentExtension"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Category.xml","ElementText","ThingCategoryDef","MooGirl_Slave","defName","/Defs[1]/ThingCategoryDef[1]/defName[1]","False","MooGirl_Slave"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Category.xml","ElementText","ThingCategoryDef","MooGirl_Slave","label","/Defs[1]/ThingCategoryDef[1]/label[1]","False","雪牛娘奴隶服装"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Category.xml","ElementText","ThingCategoryDef","MooGirl_Slave","parent","/Defs[1]/ThingCategoryDef[1]/parent[1]","False","MooGirl_Apparel"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","li","/Defs[1]/MooGirl_SlaveApparel_Head[1]/stuffCategories[1]/li[1]","False","Leathery"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","li","/Defs[1]/MooGirl_SlaveApparel_Head[1]/stuffCategories[1]/li[2]","False","Metallic"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","researchPrerequisite","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/researchPrerequisite[1]","False","FlakArmor"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","displayPriority","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/displayPriority[1]","True","260"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","workSpeedStat","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/workSpeedStat[1]","False","GeneralLaborSpeed"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","workSkill","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/workSkill[1]","False","Crafting"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","li","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/recipeUsers[1]/li[1]","False","ElectricTailoringBench"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","li","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/recipeUsers[1]/li[2]","False","HandTailoringBench"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","Crafting","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/skillRequirements[1]/Crafting[1]","True","6"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","effectWorking","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/effectWorking[1]","False","Smelt"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","soundWorking","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/soundWorking[1]","False","Recipe_Smith"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","unfinishedThingDef","/Defs[1]/MooGirl_SlaveApparel_Head[1]/recipeMaker[1]/unfinishedThingDef[1]","False","UnfinishedTechArmor"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","ThingDef","/Defs[1]/MooGirl_SlaveApparel_Head[1]/descriptionHyperlinks[1]/ThingDef[1]","False","MooGirl_SlaveApperalKey_Medieval"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","parentTagDef","/Defs[1]/MooGirl_SlaveApparel_Head[1]/apparel[1]/parentTagDef[1]","False","ApparelHead"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","useWornGraphicMask","/Defs[1]/MooGirl_SlaveApparel_Head[1]/apparel[1]/useWornGraphicMask[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","needkeynumber","/Defs[1]/MooGirl_SlaveApparel_Head[1]/needkeynumber[1]","True","1"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","keytype","/Defs[1]/MooGirl_SlaveApparel_Head[1]/keytype[1]","False","MooGirl_SlaveApperalKey_Medieval"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl_SlaveApparel_Head","Name:MooGirl_SlaveApparel_Head","gives_bound_moodlet","/Defs[1]/MooGirl_SlaveApparel_Head[1]/gives_bound_moodlet[1]","False","true"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","defName","/Defs[1]/MooGirl.SlaveApparelDef[1]/defName[1]","False","MooGirl_Blindfold"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","label","/Defs[1]/MooGirl.SlaveApparelDef[1]/label[1]","False","雪牛娘 奴隶眼罩"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","description","/Defs[1]/MooGirl.SlaveApparelDef[1]/description[1]","False","一种用于阻挡雪牛娘的视线的束具，据说感官屏蔽会令受害者更加敏感 (๑•̀ㅂ•́)و✧。眼罩配有专用锁具，必须使用[粗糙束具钥匙]才能解开。"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","texPath","/Defs[1]/MooGirl.SlaveApparelDef[1]/graphicData[1]/texPath[1]","False","Things/Apparel/MooGirl_SlaveApparel/MooGirl_Slaveblindfold/MooGirl_Slaveblindfold"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","MaxHitPoints","/Defs[1]/MooGirl.SlaveApparelDef[1]/statBases[1]/MaxHitPoints[1]","True","250"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","Flammability","/Defs[1]/MooGirl.SlaveApparelDef[1]/statBases[1]/Flammability[1]","True","0.5"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","DeteriorationRate","/Defs[1]/MooGirl.SlaveApparelDef[1]/statBases[1]/DeteriorationRate[1]","True","1.0"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","Beauty","/Defs[1]/MooGirl.SlaveApparelDef[1]/statBases[1]/Beauty[1]","True","-6"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","MarketValue","/Defs[1]/MooGirl.SlaveApparelDef[1]/statBases[1]/MarketValue[1]","True","550"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","Mass","/Defs[1]/MooGirl.SlaveApparelDef[1]/statBases[1]/Mass[1]","True","0.5"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","costStuffCount","/Defs[1]/MooGirl.SlaveApparelDef[1]/costStuffCount[1]","True","30"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","li","/Defs[1]/MooGirl.SlaveApparelDef[1]/stuffCategories[1]/li[1]","False","Fabric"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","li","/Defs[1]/MooGirl.SlaveApparelDef[1]/stuffCategories[1]/li[2]","False","Leathery"
"1.6\Defs\Apparel\Apparel_Bongdage\BongdageApparel_Head.xml","ElementText","MooGirl.SlaveApparelDef","MooGirl_Blindfold","li","/Defs[1]/MooGirl.SlaveApparelDef[1]/apparel[1]/bodyPartGroups[1]/li[1]","False","Eyes"
